relative_path,source_seconds,separator_start,separator_end,output_seconds_target,source_bytes,output_bytes,status
p/peer.mp3,2.270000,0.505850,1.648662,0.605850,9317,2839,silence_separator
p/penalty.mp3,2.850000,0.794739,1.948617,0.894739,11615,3988,silence_separator
p/pension.mp3,2.660000,0.722222,1.847347,0.822222,10884,3674,silence_separator
p/perception.mp3,3.110000,0.943084,2.061905,1.043084,12660,4510,silence_separator
p/perfection.mp3,3.110000,0.948798,2.064172,1.048798,12660,4615,silence_separator
p/perfume.mp3,2.770000,0.777460,1.909070,0.877460,11302,3883,silence_separator
p/periodic.mp3,3.130000,0.936599,2.085170,1.036599,12765,4511,silence_separator
p/periodical.mp3,3.210000,0.960952,2.133968,1.060952,13079,4615,silence_separator
p/perish.mp3,2.590000,0.692562,1.805306,0.792562,10570,3570,silence_separator
p/perpetual.mp3,2.930000,0.846848,1.990612,0.946848,11929,4197,silence_separator
p/perplex.mp3,3.000000,0.886531,2.013379,0.986531,12242,4301,silence_separator
p/pest.mp3,2.460000,0.608753,1.744308,0.708753,10048,3256,silence_separator
p/petition.mp3,2.900000,0.855374,1.963583,0.955374,11824,4197,silence_separator
p/petty.mp3,2.320000,0.538549,1.686576,0.638549,9526,2943,silence_separator
p/phase.mp3,2.530000,0.619637,1.774422,0.719637,10361,3256,silence_separator
p/phenomenon.mp3,3.110000,0.938503,2.073832,1.038503,12661,4511,silence_separator
p/philosopher.mp3,3.190000,0.952154,2.114558,1.052154,12974,4615,silence_separator
p/philosophy.mp3,3.240000,0.987438,2.149297,1.087438,13183,4719,silence_separator
p/phone.mp3,2.380000,0.579138,1.727029,0.679138,9735,3048,silence_separator
p/photograph.mp3,3.060000,0.875828,2.085306,0.975828,12451,4301,silence_separator
p/photographic.mp3,3.290000,1.016508,2.189433,1.116508,13392,4823,silence_separator
p/phrase.mp3,2.690000,0.712154,1.872063,0.812154,10988,3674,silence_separator
p/physical.mp3,2.740000,0.720317,1.913197,0.820317,11197,3674,silence_separator
p/physician.mp3,2.900000,0.836236,1.978367,0.936236,11825,4093,silence_separator
p/physicist.mp3,3.160000,0.940091,2.085805,1.040091,12869,4510,silence_separator
p/physics.mp3,2.930000,0.827120,2.002540,0.927120,11929,4092,silence_separator
p/piano.mp3,2.640000,0.698095,1.848617,0.798095,10779,3570,silence_separator
p/pick.mp3,2.350000,0.547664,1.697778,0.647664,9631,2943,silence_separator
p/picnic.mp3,2.720000,0.728118,1.870839,0.828118,11093,3675,silence_separator
p/picture.mp3,2.610000,0.665034,1.832744,0.765034,10675,3466,silence_separator
p/pie.mp3,2.270000,0.540363,1.656916,0.640363,9317,2943,silence_separator
p/piece.mp3,2.320000,0.550431,1.681633,0.650431,9526,2943,silence_separator
p/pierce.mp3,2.430000,0.594104,1.725215,0.694104,9944,3152,silence_separator
p/pig.mp3,2.170000,0.466803,1.611111,0.566803,8899,2629,silence_separator
p/pigeon.mp3,2.510000,0.653832,1.775057,0.753832,10257,3361,silence_separator
p/pile.mp3,2.380000,0.556553,1.709433,0.656553,9735,3048,silence_separator
p/pill.mp3,2.270000,0.505351,1.668753,0.605351,9317,2839,silence_separator
p/pillar.mp3,2.380000,0.566667,1.715420,0.666667,9735,3047,silence_separator
p/pillow.mp3,2.560000,0.657732,1.806304,0.757732,10466,3361,silence_separator
p/pilot.mp3,2.590000,0.674240,1.797551,0.774240,10571,3466,silence_separator
p/pin.mp3,2.250000,0.526168,1.643084,0.626168,9212,2838,silence_separator
p/pinch.mp3,2.460000,0.625850,1.745760,0.725850,10048,3256,silence_separator
p/pine.mp3,2.430000,0.603311,1.733424,0.703311,9943,3152,silence_separator
p/pink.mp3,2.380000,0.556372,1.698957,0.656372,9735,3048,silence_separator
p/pint.mp3,2.400000,0.588662,1.712154,0.688662,9839,3152,silence_separator
p/pioneer.mp3,2.800000,0.764807,1.924626,0.864807,11407,3884,silence_separator
p/pipe.mp3,2.250000,0.493741,1.652200,0.593741,9213,2734,silence_separator
p/pipeline.mp3,2.800000,0.768345,1.924444,0.868345,11407,3884,silence_separator
p/pistol.mp3,2.640000,0.679184,1.863311,0.779184,10780,3466,silence_separator
p/pit.mp3,2.350000,0.578095,1.700408,0.678095,9630,3047,silence_separator
p/pitch.mp3,2.510000,0.647120,1.777098,0.747120,10257,3361,silence_separator
p/pity.mp3,2.300000,0.532336,1.688707,0.632336,9421,2943,silence_separator
p/place.mp3,2.460000,0.614512,1.741905,0.714512,10048,3257,silence_separator
p/plague.mp3,2.350000,0.574921,1.677188,0.674921,9630,3047,silence_separator
p/plain.mp3,2.430000,0.602721,1.723356,0.702721,9944,3152,silence_separator
p/plan.mp3,2.480000,0.645805,1.760272,0.745805,10152,3361,silence_separator
p/plane.mp3,2.430000,0.602721,1.723356,0.702721,9944,3152,silence_separator
p/planet.mp3,2.590000,0.687755,1.808299,0.787755,10570,3570,silence_separator
p/plant.mp3,2.430000,0.613515,1.729433,0.713515,9943,3256,silence_separator
p/plantation.mp3,3.210000,1.010476,2.126213,1.110476,13078,4823,silence_separator
p/plaster.mp3,2.770000,0.767120,1.920136,0.867120,11302,3883,silence_separator
p/plastic.mp3,2.850000,0.828073,1.951519,0.928073,11615,4092,silence_separator
p/plate.mp3,2.430000,0.594966,1.724036,0.694966,9944,3152,silence_separator
p/plateau.mp3,2.720000,0.743265,1.875329,0.843265,11093,3779,silence_separator
p/platform.mp3,2.900000,0.823039,1.962721,0.923039,11825,4093,silence_separator
p/play.mp3,2.400000,0.570023,1.710748,0.670023,9839,3048,silence_separator
p/player.mp3,2.430000,0.582812,1.738866,0.682812,9944,3152,silence_separator
p/playground.mp3,2.770000,0.783039,1.911791,0.883039,11302,3883,silence_separator
p/plea.mp3,2.300000,0.527347,1.669252,0.627347,9422,2839,silence_separator
p/plead.mp3,2.300000,0.531066,1.653469,0.631066,9422,2943,silence_separator
p/pleasant.mp3,2.690000,0.739184,1.859410,0.839184,10988,3779,silence_separator
p/please.mp3,2.480000,0.618186,1.744354,0.718186,10153,3257,silence_separator
p/pleasure.mp3,2.530000,0.621315,1.782449,0.721315,10362,3257,silence_separator
p/pledge.mp3,2.610000,0.703356,1.822993,0.803356,10675,3570,silence_separator
p/plentiful.mp3,2.870000,0.804172,1.978095,0.904172,11720,3988,silence_separator
p/plenty.mp3,2.590000,0.652063,1.811383,0.752063,10571,3361,silence_separator
p/plot.mp3,2.460000,0.625125,1.749977,0.725125,10048,3256,silence_separator
p/plough.mp3,2.350000,0.558912,1.680181,0.658912,9631,3048,silence_separator
p/pluck.mp3,2.430000,0.577642,1.741723,0.677642,9944,3048,silence_separator
p/plug.mp3,2.320000,0.543764,1.678776,0.643764,9526,2943,silence_separator
p/plunge.mp3,2.560000,0.665306,1.784354,0.765306,10466,3466,silence_separator
p/plural.mp3,2.460000,0.591746,1.753923,0.691746,10048,3152,silence_separator
p/plus.mp3,2.430000,0.613968,1.725986,0.713968,9943,3256,silence_separator
p/pocket.mp3,2.610000,0.707029,1.834739,0.807029,10675,3570,silence_separator
p/poem.mp3,2.380000,0.578957,1.705442,0.678957,9735,3047,silence_separator
p/poet.mp3,2.460000,0.620907,1.746893,0.720907,10048,3256,silence_separator
p/poetry.mp3,2.820000,0.795374,1.937324,0.895374,11511,3988,silence_separator
p/point.mp3,2.400000,0.585488,1.723084,0.685488,9839,3152,silence_separator
p/poison.mp3,2.640000,0.699093,1.840136,0.799093,10780,3570,silence_separator
p/poisonous.mp3,3.030000,0.893107,2.036054,0.993107,12347,4302,silence_separator
p/poke.mp3,2.350000,0.551746,1.688844,0.651746,9631,2943,silence_separator
p/polar.mp3,2.460000,0.595601,1.754785,0.695601,10048,3152,silence_separator
p/pole.mp3,2.270000,0.500000,1.671156,0.600000,9317,2734,silence_separator
p/police.mp3,2.530000,0.667891,1.789161,0.767891,10361,3465,silence_separator
p/policeman.mp3,2.930000,0.852472,1.981088,0.952472,11929,4197,silence_separator
p/policy.mp3,2.850000,0.800317,1.952653,0.900317,11615,3988,silence_separator
p/polish.mp3,2.640000,0.724218,1.819048,0.824218,10779,3674,silence_separator
p/polite.mp3,2.690000,0.737596,1.864082,0.837596,10988,3674,silence_separator
p/political.mp3,2.930000,0.831837,1.996100,0.931837,11929,4092,silence_separator
p/politician.mp3,3.290000,1.036553,2.155193,1.136553,13392,4928,silence_separator
p/politics.mp3,3.240000,0.998866,2.144943,1.098866,13183,4719,silence_separator
p/poll.mp3,2.270000,0.502812,1.671156,0.602812,9317,2734,silence_separator
p/pollute.mp3,2.560000,0.675873,1.788345,0.775873,10466,3465,silence_separator
p/pollution.mp3,2.870000,0.832517,1.951519,0.932517,11720,4092,silence_separator
p/pond.mp3,2.320000,0.532789,1.678231,0.632789,9526,2943,silence_separator
p/ponder.mp3,2.510000,0.614785,1.783039,0.714785,10257,3257,silence_separator
